285,PHI (משרת את הוט ופרטנר),NS0819D,כפר יונה,כפר יונה  השומרון,מ.מקומית כפר יונה,כפר יונה,194014,690961,מתקן גישה אלחוטי,06/07/2020,03/08/2020,10/05/2023,יש היתר,66,8,ברח` השרון - מבנה בבנייה - קומה 1 במרחק 20 מטר,http://documents.sviva.gov.il/B001_1_NS0819D_20200706_1208.pdf,http://documents.sviva.gov.il/B002_1_NS0819D_20200803_1132.pdf,דור  3 4,34.93427503778595,32.31211340799452
494,PHI (משרת את הוט ופרטנר),NS1844E,זמר,מגרש כדורגל  זמר,מ.מקומית זמר,זמר,202564,697744,תורן קרקעי,24/08/2021,20/12/2021,19/12/2021,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום,http://documents.sviva.gov.il/B001_1_NS1844E_20210824_0922.pdf,http://documents.sviva.gov.il/B002_1_NS1844E_20211220_1845.pdf,דור  2 3 4 5,35.0249442780088,32.37344117778407
624,PHI (משרת את הוט ופרטנר),NS3176F,טייבה-במשולש,ליד שער אפרים,עירית טייבה במשולש,טייבה,200751,687593,תורן קרקעי,02/09/2021,24/01/2022,13/01/2022,יש היתר,2,0,במבנה מגורים מזרחי במרחק 69 מטר,http://documents.sviva.gov.il/B001_1_NS3176F_20210902_1543.pdf,http://documents.sviva.gov.il/B002_1_NS3176F_20220124_1437.pdf,דור  2 3 4 5,35.00587940713756,32.28187489987074
727,PHI (משרת את הוט ופרטנר),MN3504C,קדימה,רחוב האופה- בית רולדין,מ.מקומית קדימה,לב השרון,192586,687003,תורן על הגג,28/04/2021,28/11/2021,10/09/2023,יש היתר,30,5,בבניין משרדים אפור במרחק 73 מטר,http://documents.sviva.gov.il/B001_1_MN3504C_20210428_1558.pdf,http://documents.sviva.gov.il/B002_1_MN3504C_20211128_0919.pdf,דור  2 3 4 5,34.919223366875144,32.27638852970314
925,PHI (משרת את הוט ופרטנר),NS3221A,פרדסיה,תורן סלקום פרדסיה מערב,מ.מקומית פרדסיה,לב השרון,191024,689838,תורן קרקעי,15/08/2023,28/09/2023,14/09/2023,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,http://documents.sviva.gov.il/B001_1_NS3221A_20230815_1046.pdf,http://documents.sviva.gov.il/B002_1_NS3221A_20230928_0816.pdf,דור  2 3 4 5,34.902558875589285,32.301914778525045
1022,PHI (משרת את הוט ופרטנר),NE4968A,המעפיל,קבוץ המעפיל,מ.א עמק חפר,המעפיל,198788,698258,אנטנה משתפלת,29/06/2016,15/03/2021,25/01/2023,יש היתר,38,5,רמה זו צפויה בסטודיו למחול שפת הגוף במרחק 5 מטר,http://documents.sviva.gov.il/B001_1_NE4968A_20160714_1051.pdf,http://documents.sviva.gov.il/B002_1_NE4968A_20210315_1335.pdf,דור  2 3 4,34.98480976469297,32.378012681445824
1026,PHI (משרת את הוט ופרטנר),NS0934A,אומץ,תורן חברת פלאפון באומץ,מ.א עמק חפר,עמק חפר,199318,696588,תורן קרקעי,09/01/2013,06/02/2023,25/01/2023,יש היתר,1,0,מפלס הקרקע,http://documents.sviva.gov.il/B001_1_NS0934A_20130109_0930.pdf,http://documents.sviva.gov.il/B002_1_NS0934A_20230206_1051.pdf,דור  2 3 4,34.99047723249989,32.362963133808535
1183,PHI (משרת את הוט ופרטנר),WM3798D,קלנסווה,קלנסווה דרום,מ.מקומית קלנסווה,קלנסווה,198477,687794,מתקן גישה אלחוטי,06/05/2020,13/10/2020,02/02/2023,יש היתר,70,8,בהמסגד הישן במרחק 26 מטר,http://documents.sviva.gov.il/B001_1_WM3798D_20200506_1603.pdf,http://documents.sviva.gov.il/B002_1_WM3798D_20201013_1028.pdf,דור  2 3 4,34.98173606084565,32.2836471882226
1208,PHI (משרת את הוט ופרטנר),NS3158C,ינוב,ינוב,מ.א לב השרון,לב השרון,195918,691052,תורן קרקעי,16/03/2020,26/05/2020,07/02/2023,יש היתר,6,1,בבית קרור/אריזה במרחק 44 מטר,http://documents.sviva.gov.il/B001_1_NS3158C_20200316_1745.pdf,http://documents.sviva.gov.il/B002_1_NS3158C_20200526_0935.pdf,דור  2 3 4,34.95449073445118,32.31297565575265
1216,PHI (משרת את הוט ופרטנר),NS6410C,ניצני עוז,ניצני עוז סלקום,מ.א לב השרון,לב השרון,201183,690060,תורן קרקעי,07/10/2019,26/05/2020,08/02/2023,יש היתר,2,0,רמה זו צפויה בחממה - קרקע במרחק 33 מטר,http://documents.sviva.gov.il/B001_1_NS6410C_20191007_1657.pdf,http://documents.sviva.gov.il/B002_1_NS6410C_20200526_1004.pdf,דור  2 3 4,35.01041780230278,32.30412850785366
1218,PHI (משרת את הוט ופרטנר),NS4198D,יד חנה,ליד יד חנה דרום מדרום לבת חפר.,מ.א עמק חפר,בת חפר,201497,692026,תורן קרקעי,28/02/2021,28/04/2021,08/02/2023,יש היתר,3,1,בפרגולה פינת ישיבה במרחק 55 מטר,http://documents.sviva.gov.il/B001_1_NS4198D_20210228_1327.pdf,http://documents.sviva.gov.il/B002_1_NS4198D_20210428_1547.pdf,דור  2 3 4,35.01371465132295,32.321862186121606
1334,PHI (משרת את הוט ופרטנר),NS3746B,בת חפר,"בת חפר משאבת  מים - שת""פ פלאפון",מ.מקומית בת חפר,עמק חפר,200780,693246,תורן קרקעי,03/11/2022,26/02/2023,08/02/2023,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,http://documents.sviva.gov.il/B001_1_NS3746B_20221103_1325.pdf,http://documents.sviva.gov.il/B002_1_NS3746B_20230226_1036.pdf,דור  2 3 4,35.00607623388869,32.33285189154094
